CameraDir,TargetVelocity,FallAngle,TargetDistance,ResponseAngle
0,10,0,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,15,20,0
0,10,15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,0,20,0
0,10,15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,0,20,0
0,10,15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,0,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,0,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,0,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,15,20,0
0,10,15,20,0
0,10,-15,20,0
0,10,-15,20,0
